,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
0,Дрель-шуруповерт Ryobi ONE+ R18DD3-220S 5133003348,13 мм,,50 Нм,,349,Сверлит в дереве отверстия диаметром до 38 мм,1.3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1,Бесщеточная аккумуляторная дрель-шуруповерт AEG BS18SBL-202C 4935472277,,,65 Нм,,252,На 30% компактнее аналогов за счет нового двигателя OBL,1.3 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
2,Аккумуляторный винтоверт KEYANG ID20BLH-230,,,230 Нм,,8,Мощная и компактная модель с зажимом оснастки в 1 касание,1 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
3,Аккумуляторный ленточный шуруповерт KEYANG SD20BL,,,12 Нм,,10,Принимает саморезы до 57 мм,1 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
4,Компактная дрель-шуруповерт Ryobi ONE+ R18DD3-120S 5133003347,13 мм,,50 Нм,,130,24 позиции крутящего момента – любой шуруп закручивается легко и аккуратно,1.3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
5,Дрель-шуруповерт AEG BS18G4-202C 4935478630,13 мм,,60 Нм,,1110,"2 АКБ в комплекте позволяют работать, не прерываясь на подзарядку",1.7 кг,,есть,,,54 мм,,,18 В,,,,,Li-Ion,,,,
6,Компактная дрель-шуруповерт Ryobi ONE+ R18DD3-115S 5133005301,13 мм,,50 Нм,,78,Быстрозажимной патрон с фиксатором 13 мм эффективно передает крутящий момент,1.7 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
7,Бесщеточный импульсный винтоверт Ryobi ONE+ HP RID18C-0 5133004938,,,240 Нм,,115,Закрутит даже тугой крепеж: импульсный механизм и момент силы до 240 Нм,0.9 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
8,Бесщеточная аккумуляторная ударная дрель-шуруповерт AEG 18В BSB18C3BL-402C 4935478938,13 мм,,110 Нм,,32,Частота ударов до 31 500 уд/мин позволяет делать отверстия диаметром до 13 мм,2.4 кг,,есть,,13 мм,65 мм,,,18 В,,,,,Li-Ion,,,,
9,Аккумуляторный винтоверт Ryobi ONE+ RID1801M 5133001168,,,220 Нм,,378,"3 светодиода, магнитная площадка и держатель для бит - для комфортной работы",1.2 кг,,нет,,,,,,18 В,,,,,Li-Ion/Ni-Cd,,,,
10,Бесщеточная ударная дрель-шуруповерт Ryobi ONE+ R18PD7-220B 5133004295,13 мм,,85 Нм,,102,Продуктивная работа без перерывов с 2 аккумуляторами в комплекте,1.7 кг,,есть,,,54 мм,13 мм,,18 В,,,,,Li-Ion,,,,
11,Бесщеточная дрель-шуруповерт Ryobi ONE+ HP RDD18C-220S 5133004980,13 мм,,54 Нм,,106,Продуктивная работа без перерывов с 2 аккумуляторами и ЗУ в комплекте,1.4 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
12,Ударная бесщеточная дрель-шуруповерт AEG BSB18C2BL-0 4935472009,13 мм,,65 Нм,,146,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.8 кг,,нет,,,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
13,Бесщеточная аккумуляторная ударная дрель-шуруповерт AEG 18В BSB18C3BL-502C 4935478939,13 мм,,110 Нм,,32,Мощный бесщеточный двигатель обеспечивает крутящий момент до 110 Нм,2.4 кг,,есть,,13 мм,65 мм,,,18 В,,,,,Li-Ion,,,,
14,Бесщеточная ударная дрель-шуруповерт Ryobi ONE+ R18PD7-252S 5133004391,13 мм,,85 Нм,,73,Продуктивная работа без перерывов с 2 аккумуляторами в комплекте,1.65 кг,,есть,,,54 мм,13 мм,,18 В,,,,,Li-Ion,,,,
15,Импульсный винтоверт AEG BSS18C3B3-0 18В 4935478940,,,350 Нм,,16,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.4 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
16,Бесщеточная аккумуляторная ударная дрель-шуруповерт AEG 18В BSB18C3BL-X02C 4935478937,13 мм,,110 Нм,,30,Мощный бесщеточный двигатель обеспечивает крутящий момент до 110 Нм,1.4 кг,,есть,,13 мм,65 мм,,,18 В,,,,,Li-Ion,,,,
17,Бесщеточная Дрель AEG акк BSB18CBLLI502C 4935459396,13 мм,,75 Нм,,56,Можно установить угловую насадку для работ в труднодоступных местах,2.1 кг,,есть,,14 мм,45 мм,,,18 В,,,,,Li-Ion,,,,
18,Импульсный бесщеточный винтоверт Ryobi ONE+ R18IDBL-0 без аккумулятора в комплекте 5133002662,,,270 Нм,,110,Выгодное приобретение – инструмент без аккумулятора дополнит набор из серии One+,1.1 кг,,нет,,,,,,18 В,,,,,Li-Ion/Ni-Cd,,,,
19,Аккумуляторная ударная дрель-шуруповерт DCA ADJZ2050i (TYPE DM),13 мм,,50 Нм,,3,,,,есть,,,32 мм,13 мм,,18 В,,,,,Li-Ion,,,,
20,"Дрель-шуруповерт аккумуляторная бесщеточная DEKO Loner 20V ONE + в кейсе, 20В, 2x4.0Ач 085-1003",10 мм,,55 Нм,,27,Бесщеточный двигатель и 2 аккумулятора емкостью по 4 Ач в комплекте,2.96 кг,,есть,,,25 мм,,,20 В,,,,,Li-Ion,,,,
21,Аккумуляторная угловая дрель DCA ADJZ14-10 (TYPE EK),10 мм,,11 Нм,,2,,1 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
22,Дрель Makita DF0300,10 мм,,56 Нм,,666,Простой доступ к угольным щеткам – проводите обслуживание без обращения в сервис,1.2 кг,,,,,28 мм,,320 Вт,,,,,,,,,,0-450/0-1500 об/мин
23,Дрель-шуруповерт Makita CXT DF333DWAE,10 мм,,30 Нм,,680,,1.1 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
24,Аккумуляторная дрель-шуруповерт Sturm CD3618,10 мм,,30 Нм,,105,1BatterySystem: единый тип аккумулятора для разных инструментов,1.12 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
25,Бесщеточная дрель-шуруповерт Dewalt 18.0 В XR DCD7771D2,13 мм,,65 Нм,,24,,1.15 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
26,Аккумуляторная дрель-шуруповерт Ресанта ДА-14-2ЛК 75/14/4,10 мм,,45 Нм,,131,2 аккумулятора – для длительной работы без перерывов на подзарядку,1.25 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
27,Ударная бесщеточная дрель-шуруповерт AEG BSB18BL2-0 18 В 4935481042,13 мм,,141 Нм,,11,,,,нет,,20 мм,100 мм,,,18 В,,,,,Li-Ion,,,,
28,Аккумуляторная дрель-шуруповерт Ресанта ДА-18-2ЛК 75/14/5,12 мм,,50 Нм,,234,2 аккумулятора – для длительной работы без перерывов на подзарядку,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
29,"Дрель-шуруповерт ЗУБР 18 В, 2 АКБ, 2 Ач, в кейсе ДШЛ-185-22",12 мм,,40 Нм,,180,,1.15 кг,,есть,,,28 мм,,,18 В,,,,,Li-Ion,,,,
30,Аккумуляторная дрель-шуруповерт Makita LXT DDF485Z,13 мм,,50 Нм,,292,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.7 кг,,нет,,,38 мм,,,18 В,,,,,Li-Ion,,,,
31,"Аккумуляторная дрель-шуруповерт Вихрь ДА-20Л-2КА с набором оснастки, 65 предметов 72/14/36",12 мм,,42 Нм,,18,Экономия времени благодаря быстрозажимному патрону,2.5 кг,,есть,,,30 мм,,,20 В,,,,,Li-Ion,,,,
32,"Аккумуляторная дрель-шуруповерт DEKO DKCD20FU-Li в кейсе + набор 63 инструмента для дома, 20В, 2х2.0Ач (2024) 063-4093",10 мм,,42 Нм,,472,Крутящий момент 42 Нм и 2 аккумулятора по 2 Ач для решения самых сложных задач,1.71 кг,,есть,,,28 мм,,,20 В,,,,,Li-Ion,,,,
33,Импульсный винтоверт AEG BSS18SBL2-0 18В 4935480059,,,200 Нм,,5,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,0.7 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
34,Бесщеточный аккумуляторный импульсный винтоверт BSS18SBL-0 AEG 4935472278,,,200 Нм,,89,На 30% компактнее аналогов за счет нового двигателя OBL,1.3 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
35,Ударная дрель-шуруповерт AEG BSB18BL2-602K 18 В 4935481043,13 мм,,141 Нм,,9,,,,есть,,20 мм,100 мм,,,18 В,,,,,Li-Ion,,,,
36,Аккумуляторная бесщеточная дрель Hammer ACD12BL 12В 2x2Ач LilON 10мм 0-400/0-1400об/мин 40Нм в кейсе 14281 824163,8 мм,,40 Нм,,323,,1.7 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
37,Аккумуляторная дрель-шуруповерт Вихрь ДА-18Л-2КА 72/14/25,12 мм,,35 Нм,,620,2 аккумулятора в комплекте – для непрерывной работы без простоев,1.25 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
38,"Аккумуляторная ударная бесщеточная дрель-шуруповерт DEKO DKCID20 PRO в кейсе, 20 В, 135 Нм, 2x4.0 Ач 063-4437",13 мм,,135 Нм,,11,"Бесщеточный двигатель, 2 АКБ по 4 Ач, 135 Нм – подойдет для зимней рыбалки",3.2 кг,,есть,,,38 мм,,,20 В,,,,,Li-Ion,,,,
39,"Дрель-шуруповерт Ryobi RPD18X-242S 18В, бесщеточная, ударная 5133005283",13 мм,,95 Нм,,8,,1.3 кг,,есть,,13 мм,54 мм,13 мм,,18 В,,,,,Li-Ion,,,,
40,Аккумуляторная дрель-шуруповерт DAEWOO DAA 1220 LI DAA 1220LI,10 мм,,30 Нм,,280,,2 кг,,есть,,,26 мм,,,12 В,,,,,Li-Ion,,,,
41,Аккумуляторная дрель-шуруповерт Ресанта ДА-12-2ЛК 75/14/2,10 мм,,40 Нм,,221,2 аккумулятора – для длительной работы без перерывов на подзарядку,0.96 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
42,Аккумуляторная дрель-шуруповерт Makita LXT DDF453RFE,13 мм,,42 Нм,,207,,1.8 кг,,есть,,,36 мм,,,18 В,,,,,Li-Ion,,,,
43,Дрель-шуруповерт ударная бесщеточная Ryobi ONE+ RPD18C-220S 5133004982,13 мм,,54 Нм,,6,Оптимизированный высокоскоростной двигатель обеспечивает высокую мощность,1 кг,,есть,,,38 мм,13 мм,,18 В,,,,,Li-Ion,,,,
44,Бесщеточная аккумуляторная дрель-шуруповерт Интерскол ДА-10/12В МиниМАКС 687.1.2.70,10 мм,,36 Нм,,40,,0.82 кг,,есть,,,26 мм,,,12 В,,,,,Li-Ion,,,,
45,Дрель-шуруповерт DEWALT 2.0 Ач DCD771D2,13 мм,,42 Нм,,270,Металлические шестерни планетарного редуктора устойчивы к износу и нагрузкам,1.5 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
46,Аккумуляторная дрель-шуруповерт Makita DDF485SYE,13 мм,,50 Нм,,9,,1.7 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
47,Бесщеточная дрель-шуруповерт DEWALT 18.0 В XR DCD777S2T,13 мм,,65 Нм,,299,"Бесщеточный двигатель – КПД на 30% больше, чем у щеточного аналога",1.15 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
48,Аккумуляторная дрель-шуруповерт Вихрь ДА-18Л-2К 72/14/9,12 мм,,45 Нм,,521,Электронная защита от перегрузок снижает риск поломки инструмента,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
49,Аккумуляторная дрель-шуруповерт PATRIOT BR 181UES 180201481,8 мм,,29 Нм,,276,Два аккумулятора и зарядное устройство – на базе единой системы UES,2.33 кг,,есть,,,20 мм,,,21 В,,,,,Li-Ion,,,,
50,Аккумуляторный шуруповерт Hanskonner 1BatterySystem HCD18165BLI,13 мм,,165 Нм,,11,,,,есть,,13 мм,40 мм,,,18 В,,,,,Li-Ion,,,,
51,Аккумуляторная дрель-шуруповерт Ресанта ДА-50Л2-18А 75/14/9,12 мм,,50 Нм,,178,2 аккумулятора в комплекте – для непрерывной работы без простоев,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
52,"Аккумуляторная дрель-шуруповерт DEKO Loner 20V, 20В, 2x3.0 Ач 085-1005",10 мм,,45 Нм,,10,Металлический патрон и два аккумулятора емкостью по 3 Ач в комплекте,1.5 кг,,есть,,,25 мм,,,20 В,,,,,Li-Ion,,,,
53,"Дрель-шуруповерт ЗУБР 12В, 2 АКБ 2Ач, в кейсе ДШЛ-125-22",10 мм,,30 Нм,,117,,0.87 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
54,"Аккумуляторная бесщеточная компактная дрель-шуруповерт DEKO Loner 12V PRO в кейсе, 12В, 2x3.0Ач 085-1011",10 мм,,40 Нм,,18,Бесщеточный двигатель и 2 аккумулятора емкостью по 3 Ач в комплекте,1.09 кг,,есть,,,22 мм,,,12 В,,,,,Li-Ion,,,,
55,Аккумуляторная дрель-шуруповерт Hanskonner HCD1865BL,,,65 Нм,,44,Зарядное устройство и 2 аккумулятора в комплекте,3.5 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
56,Дрель-шуруповерт Sturm ID2145PT,13 мм,,45 Нм,,130,,1.7 кг,4 м,,,,20 мм,,450 Вт,,,,,,,,,,0-400/0-1500 об/мин
57,Импульсный винтоверт Ryobi ONE+ R18ID2-0 5133004611,,,200 Нм,,26,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.2 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
58,"Аккумуляторная дрель-шуруповерт DEKO DKCD20FU-Li, 20 В, 1x2.0 Ач, зарядное устройство (2024) 063-4149",10 мм,,42 Нм,,8,Крутящий момент 42 Нм и аккумулятор 2 Ач для решения сложных задач,1.2 кг,,есть,,,28 мм,,,20 В,,,,,Li-Ion,,,,
59,"Аккумуляторная дрель-шуруповерт DEKO DKCD20FU-Li 20 В, без АКБ и зарядного устройства (2024) 063-4454",10 мм,,42 Нм,,14,,0.8 кг,,нет,,,28 мм,,,20 В,,,,,Li-Ion,,,,
60,Аккумуляторная дрель-шуруповерт Ресанта ДА-24-2ЛК 75/14/7,12 мм,,60 Нм,,52,2 аккумулятора – для длительной работы без перерывов на подзарядку,1.35 кг,,есть,,,30 мм,,,24 В,,,,,Li-Ion,,,,
61,Сетевая дрель-шуруповерт ЗУБР ДШ-М3-500-2,10 мм,10 мм,45 Нм,,401,,1.6 кг,5 м,,,,25 мм,,500 Вт,,,нет,,,,,,,0-500/0-1800 об/мин
62,"Аккумуляторная бесщеточная компактная дрель-шуруповерт DEKO Loner 20V PRO в кейсе, 20 В, 2x3.0 Ач 085-1010",12 мм,,45 Нм,,8,Бесщеточный двигатель и 2 аккумулятора емкостью по 3 Ач в комплекте,1.95 кг,,есть,,,24 мм,,,20 В,,,,,Li-Ion,,,,
63,Аккумуляторная дрель-шуруповерт Ресанта ДА-20-2ЛК-Б 75/14/10,12 мм,,55 Нм,,42,"Бесщеточный двигатель – без подзарядки работа дольше, чем со щеточным узлом",1.3 кг,,есть,,,30 мм,,,20 В,,,,,Li-Ion,,,,
64,"Дрель-шуруповерт аккумуляторная Zitrek Green 12V Plus, 12В, 2x1,5Ач 085-1014",10 мм,,28 Нм,,7,"2 аккумулятора, 2 скорости, компактный размер – идеально для дома, сборки мебели",1.15 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
65,"Ударная дрель-шуруповер ЗУБР 18В, 2 АКБ 2Ач, в кейсе ДШУ-185-22",12 мм,,40 Нм,,65,,1.2 кг,,есть,,,28 мм,,,18 В,,,,,Li-Ion,,,,
66,"Аккумуляторная дрель Hanskonner б/щ, 12В, 2 акк. 2,0 Ач, 30Нм, кейс HCD1230R",10 мм,,30 Нм,,16,,2.22 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
67,Аккумуляторный шуруповерт Sturm CD2080,13 мм,,80 Нм,,20,,1.25 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
68,Аккумуляторная дрель-шуруповерт Ресанта ДА-12-2Л 75/14/1,10 мм,,40 Нм,,93,5 лет гарантии от производителя – подтверждение высокого качества инструмента,0.96 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
69,Сетевая дрель-шуруповерт Ресанта СШ-550-1 75/16/2,10 мм,10 мм,25 Нм,,147,Режим реверса – для ослабления креплений и выкручивания крепежа,1.3 кг,1.5 м,,,,25 мм,,550 Вт,,,нет,,,,,,,0-800 об/мин
70,Аккумуляторная дрель-шуруповерт Вихрь ДА-12Л-2КА 72/14/26,10 мм,,25 Нм,,437,2 аккумулятора в комплекте – для непрерывной работы без простоев,0.96 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
71,Дрель-шуруповерт аккумуляторная Вихрь ДА-1822К 900/72/14/45,12 мм,,45 Нм,,8,,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
72,Аккумуляторная дрель-шуруповерт Makita LXT BL DDF486RT,13 мм,,130 Нм,,18,,2.6 кг,,есть,,,76 мм,,,18 В,,,,,Li-Ion,,,,
73,Бесщеточный шуруповерт для гипсокартона AEG BTS18BL-0 18В без аккумулятора в комплекте 4935459620,,,5 Нм,,12,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.2 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
74,Ударная аккумуляторная дрель-шуруповерт DAEWOO DAA 7521Li SET,,,150 Нм,,8,Модель из линейки DAEWOO 21 В – один аккумулятор для множества инструментов,2.77 кг,,есть,,,,,,21 В,,,,,Li-Ion,,,,
75,"Аккумуляторный шуруповерт TOUA DBLD180 18,1АКБ+ЗУ DBLD180-1",13 мм,,60 Нм,,13,Крутящий момент 60 Нм для работы с плотными материалами и сложными соединениями,1.95 кг,,есть,,,40 мм,,,18 В,,,,,Li-Ion,,,,
76,Аккумуляторная дрель-шуруповерт Вихрь ДА-12Л-2 72/14/14,10 мм,,30 Нм,,569,Емкость аккумулятора 2 Ач – идеально для мелкого ремонта в быту,0.96 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
77,Аккумуляторный шуруповерт Sturm CD3512SC,,,28 Нм,,73,,1.84 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
78,"Дрель-шуруповер ЗУБР 14.4 В, 1 АКБ, в кейсе ДШЛ-145-21",10 мм,,35 Нм,,16,,1.1 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
79,Аккумуляторная дрель-шуруповерт Ресанта ДА-18-2ЛК-У 75/14/6,12 мм,,50 Нм,,59,2 аккумулятора – для длительной работы без перерывов на подзарядку,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
80,Бесщеточная дрель-шуруповерт ЗУБР Профессионал DB-201-42,13 мм,,70 Нм,,19,,2 кг,,есть,,,45 мм,,,20 В,,,,,Li-Ion,,,,
81,Бесщеточная аккумуляторная дрель-шуруповерт AEG BSB18CBL-0 4935451082,13 мм,,60 Нм,,33,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.8 кг,,нет,,14 мм,45 мм,,,18 В,,,,,Li-Ion,,,,
82,Аккумуляторная дрель-шуруповерт Вихрь ДА-20Л-2К 72/14/21,12 мм,,50 Нм,,101,2 аккумулятора в комплекте – для непрерывной работы без простоев,1.3 кг,,есть,,,30 мм,,,20 В,,,,,Li-Ion,,,,
83,Аккумуляторный шуруповерт TOUA 12 v DBLD120,10 мм,,40 Нм,,16,"Компактность и производительность: при весе 0,95 кг имеет крутящий момент 40 Нм",0.95 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
84,Бесщеточная дрель-шуруповерт ЗУБР Профессионал DB-201-22,13 мм,,70 Нм,,44,,1.7 кг,,есть,,,45 мм,,,20 В,,,,,Li-Ion,,,,
85,"Аккумуляторная ударная дрель-шуруповерт Zitrek Green Impact 18V (18В, Li-ion 2x5.0Ач) 063-4046",13 мм,,80 Нм,,222,"Бесщеточный двигатель, 2 АКБ по 6 Ач, 80 Нм – подойдет для зимней рыбалки",3.15 кг,,есть,,14 мм,38 мм,14 мм,,18 В,,,,,Li-Ion,,,,
86,"Ударная аккумуляторная дрель-шуруповерт DEKO GCD12DU SET4 в кейсе + оснастка 13 шт, 12В, 2x2.0Ач 063-4038",10 мм,,32 Нм,,59,"Функция удара для сверления в кирпиче и бетоне, 2 аккумулятора в комплекте",1.2 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
87,Аккумуляторная дрель-шуруповерт PATRIOT BR 114li 180201405,6 мм,,25 Нм,,412,Два аккумулятора с функцией зарядки за один час гарантируют работу без перерывов,,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
88,Аккумуляторная дрель-шуруповерт Вихрь ДА-12-1 72/14/11,8 мм,,16 Нм,,268,22 ступени крутящего момента – для работы с разными материалами,0.971 кг,,есть,,,18 мм,,,12 В,,,,,Li-Ion,,,,
89,Аккумуляторная дрель-шуруповерт PATRIOT BR 119Li 180301119,6 мм,,30 Нм,,51,,0.89 кг,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
90,"Аккумуляторная дрель-шуруповерт Hammer Flex 12 В, 1x1.5 Ач, Li-ION, 10 мм, 0-350/0-1400 об/мин, 26 Нм ACD12CS 645151",8 мм,,26 Нм,,322,,0.94 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
91,Аккумуляторная дрель-шуруповерт WORX Professional WU130X,10 мм,,40 Нм,,40,Работа дольше на 50% в сравнении с щеточными аналогами,,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
92,Дрель-шуруповерт Ryobi ONE+ R18DD3-215S 5133003774,13 мм,,50 Нм,,9,Встроенная LED-подсветка для работы при слабом освещении,1.7 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
93,"Бесщеточная ударная дрель-шуруповерт ЗУБР Профессионал 20 В, 2 АКБ, 4 Ач, в кейсе DBS-201-42",13 мм,,70 Нм,,21,,2 кг,,есть,,,45 мм,,,20 В,,,,,Li-Ion,,,,
94,"Бесщеточная аккумуляторная дрель-шуруповерт Интерскол ДАУ-10/18В 44 МиниМАКС (Li-ion, кейс, 2 аккум., 2,5 Ач, ЗУ) 769.2.2.45",10 мм,,,,,Max крутящий момент : 44 Нм,0.85 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
95,Аккумуляторная дрель-шуруповерт Ресанта ДА-14-2Л 75/14/3,10 мм,,45 Нм,,76,5 лет гарантии от производителя – подтверждение высокого качества инструмента,1.25 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
96,Аккумуляторная дрель-шуруповерт Вихрь ДА-14Л-2KА 72/14/20,10 мм,,30 Нм,,203,2 аккумулятора в комплекте – для непрерывной работы без простоев,1.25 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
97,Электрическая дрель-шуруповерт PARTNERTOOL PED-900,10 мм,,30 Нм,,305,,1.5 кг,,,,,20 мм,,900 Вт,,,,,,,,,,0-800 об/мин
98,Сетевая дрель-шуруповерт ЗУБР 400 Вт ДШ-М1-400-2,10 мм,8 мм,40 Нм,,317,,1.36 кг,3 м,,,,25 мм,,400 Вт,,,нет,,,,,,,0-450/0-1800 об/мин
99,"Ударный винтоверт ЗУБР 18В, 2 АКБ (2Ач), в кейсе ГВЛ-255-22",,,250 Нм,,16,,1.3 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
100,Аккумуляторная дрель-шуруповерт PATRIOT BR 117Li 180301117,8 мм,,23 Нм,,15,,,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
101,Аккумуляторная дрель-шуруповерт Вихрь ДА-12Л-2К 72/14/7,10 мм,,30 Нм,,139,Электронная защита от перегрузок снижает риск поломки инструмента,0.96 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
102,Аккумуляторная дрель-шуруповерт FAVOURITE + набор оснастки DC 1202 PROMO SET,10 мм,,22 Нм,,36,,2 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
103,Бесщеточная ударная дрель-шуруповерт AEG BSB18BL LI-602C 4935464100,13 мм,,140 Нм,,54,Удлиненная боковая рукоятка – контроль над инструментом и безопасность в работе,2.4 кг,,есть,,,100 мм,,,18 В,,,,,Li-Ion,,,,
104,"Аккумуляторная дрель-шуруповерт Вихрь ДА-14,4Л-2 72/14/15",10 мм,,40 Нм,,223,Быстрая зарядка батареи – всего час,2 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
105,Аккумуляторная ударная дрель-шуруповерт BORT BAB-21U (2x4А.ч) 93414837,13 мм,,100 Нм,,7,Функция Kickback control исключает травмы оператора при заклинивании оснастки,1.8 кг,,есть,,,35 мм,,,21 В,,,,,Li-Ion,,,,
106,"Аккумуляторная дрель-шуруповерт ПОБЕДА ДА-20/1 Ли, 20В, 2,0Ач, 1 АКБ, 38Нм, кейс 180201700",,,38 Нм,,4,,1.45 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
107,"Аккумуляторная дрель-шуруповерт DEKO GCD12DU3 SET2 FU-Li-Ion + оснастка 13 шт, 12 В, 1х1.5 Ач, з/у 063-4146",10 мм,,32 Нм,,196,,1.092 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
108,"Дрель-шуруповер ЗУБР 14.4 В, 2 АКБ, 2 Ач, в кейсе ДШЛ-145-22",10 мм,,35 Нм,,28,,1.1 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
109,Аккумуляторный винтовёрт Elitech CS 2003SL (E2201.055.02) HD 205733,,,260 Нм,,20,,5 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
110,Ударная аккумуляторная дрель-шуруповерт DAEWOO DAA 6521Li SET,,,120 Нм,,8,,2.33 кг,,есть,,,,,,21 В,,,,,Li-Ion,,,,
111,Дрель-шуруповерт Sturm SOFT TOUCH ID2145P,10 мм,,45 Нм,,344,,1.6 кг,4.1 м,,,,20 мм,,450 Вт,,,нет,,,,,,,0-400/0-1500 об/мин
112,Аккумуляторная дрель-шуруповерт Ресанта ДА-24-2ЛК-У 75/14/8,12 мм,,60 Нм,,61,2 аккумулятора – для длительной работы без перерывов на подзарядку,1.35 кг,,есть,,,30 мм,,,24 В,,,,,Li-Ion,,,,
113,Ударная дрель-шуруповерт AEG BSB18G4-0 4935478632,13 мм,,60 Нм,,40,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.3 кг,,нет,,,54 мм,13 мм,,18 В,,,,,Li-Ion,,,,
114,Сетевой шуруповерт Вихрь СШ-550/2 72/16/1,10 мм,,34 Нм,,177,Легкий доступ к щеткам – для самостоятельной их замены,1.4 кг,2 м,,,,25 мм,,550 Вт,,,нет,,,,,,,0-450/0-1500 об/мин
